ID,Nome,Telemovel,Referencia,Familia de,Nacionalidade,Pedidos,Notas
1,Gretchen Wolf,+15599156771,Mildred Morar,3,"Brasileira ",,menina 11 anos
2,Dr. Nathaniel Rath,+17737995130,Dr. Owen Lynch,,Bangladesh,,
3,Shelia Mueller,+12416914958,Courtney Terry,,,,
4,Susie Marks-Franecki,+18047929202,Beverly Tremblay,2,S�o Tom�,,
5,Frank Reilly,+17219790883,Valerie Ebert,6,Brasileira,"Passa � frente na fila. ",boys 4 and 5
6,Amy Gottlieb,+17553530870,Gladys Bashirian,1,brasileiro,,
7,Jesus Reichert,+15599697980,Dr. Dianna Witting,4,"S�o Tom� ",,
8,Alan Kuhn,+13776060048,Jared Kilback,,,,Avisados
9,Raquel Zieme DVM,+15594517483,Gertrude Rau,3,,girl 3 boy 6,Avisados
10,Charlene Batz,+18098695877,Ida Schowalter,1,Brasileira,,
11,Sheryl Cummerata,+14284528364,Rosie Kuhlman,4,Brasileiro,menino 1m,
12,Dr. David Walsh,+17526877938,Amos Mills,,Senegal,,Adolescer
13,Jonathan Deckow,+13486500280,Tomas Brekke IV,2,"Argentina ",,
14,Beulah Hagenes,+15018455130,Elsie Streich,1,Colombiano,,
15,Roderick Aufderhar,+16795918230,Maggie Reinger Jr.,,Ucraniana,,
16,Bert Runolfsson,+18042407113,Wilson Bergstrom Sr.,4,brasileira,,
17,Arthur Klocko,+14599079669,Eloise Kutch,4,"Portugu�s ",menino 4,casa de brincar
18,Mrs. Joanna Ortiz-Breitenberg,+18818814311,Toby Nolan,,Brasileiros,,
19,Marsha Jacobi,+19456518845,Jody Gutkowski,1,"Espanhol ",,
20,Beulah Kessler V,+14758789273,Cecil Bayer,,G�mbia,,Adolescer
21,Eileen Jacobs,+15414675400,Tom Swift,4,Brasileiros,,
22,Peggy Labadie-Kautzer,+16872074684,Cassandra Dibbert,,,,
23,Michelle Hansen,+17916143992,Sonia Keebler,,,"camas crian�a e adulto sof�s, mesa, ",
24,Spencer Osinski,+16564422848,Robin Marquardt,4,"angola ",,
25,Adrienne Davis,+18854826260,Agnes Hartmann-Kris MD,5,"Guin� ",,"gr�vida "
26,Sandy Borer,+17275942019,Martin Fisher-Lindgren,,,,
27,Mr. Richard Gibson,+15568029537,Blanca Murphy,2,Em Salvador,,
28,Dr. Jeffrey Grady DDS,+14062264501,Dr. Herbert Toy,4,portuguesa,,gr�vida  e menino 6 anos
29,Dr. Brenda Rowe,+18266793102,Winifred Robel,1,portuguesa,,
30,Terrell Heller,+18377404930,Miss Marlene Wunsch,4,brasileira,,
31,Archie Pouros,+16545376743,Barbara Leannon,4,Brasileiro,,
32,Esther Schaefer,+14519687969,Eugene Schaden,5,"brasileira ",,
33,Roderick Franey-Hoppe Jr.,+14919120057,Wilbert Wehner,3,brasileira,,
34,Naomi Von,+16108203867,Douglas Gibson,4,Ucraniana,,
35,Darnell Hansen,+16899456196,Pam Larson,,,,
36,Erma Bergnaum,+15443049987,Rolando Wilkinson,,,,
37,Dr. Darnell O'Connell,+14157634934,Curtis Franey IV,1,Brasileiro,,
38,Wendell Bayer,+17683505992,Gerardo Prosacco,2,"colombiano ",,
39,Richard Daniel,+18353062644,Dr. Grady Mertz,3,"brasileiro ",,
40,Edgar Rohan,+13054131154,Wm Spencer,,,,
41,Leslie King I,+17814963423,Guillermo Vandervort,4,Colombiano,,
42,Kelly Stracke,+15073038982,Ada Farrell,2,"brasileira ",,
43,Jacquelyn Leuschke IV,+16064768056,Dr. Edmund Armstrong,1,Brasileira,,
44,Marco Vandervort,+18056725412,Alice Russel,1,"brasileira ",,
45,Allen Farrell MD,+18198180867,Leo Bashirian,2,Columbiano,,Menina 3
46,Wayne Koss,+18974674088,Randolph Koch,1,colombiana,,
47,Sandy Hickle,+13647993734,Whitney Raynor,,"venezuela ",,
48,Connie Ledner,+12436435677,Patty Kutch,1,"portugu�s ",,projeto homem
49,Latoya Stanton,+13862426075,Marianne Emard,4,Portuguesa,,G�meos 4
50,Muriel Gleichner,+12214575017,Tyler Renner,2,Peruano,,
51,Miriam Dooley Sr.,+19935814582,Clifford Pollich,4,brasileira,,
52,Marvin Gutkowski DVM,+16359720482,Darlene Heller,3,"Brasileiro ",,menina 3 anos
53,Mrs. Dianne Witting,+18755586213,Otis Wilkinson,,Portuguesa,,
54,Larry Mraz,+16756612740,Raul Langosh,3,brasileira,,
55,Bessie Weissnat,+15292779965,Karen Kilback,2,Brasileiro,,
56,Bernadette Johns-Fisher,+18723981384,Dora Hermann,2,Brasileiros,,
57,Mattie Lehner III,+18165540702,Nelson Torphy,3,Nepal,menino 7m,
58,Brittany Feeney,+19005590490,Neil Larkin,,"Port./Mo�ambique ",5 filhos fora,Vive na rua
59,Fredrick Torphy,+19648923294,Joann Feil,2,"Venezuela ",,"menino 1 ano "
60,Kerry Stoltenberg,+19862870451,Irma Langosh MD,4,Portuguesa,2 meninas 1 e 6 anos,
61,Marguerite Wunsch,+15529903869,Eileen Mitchell,,,,
62,Jamie Ferry,+18536236869,Ben Torphy,,Brasileiros,,
63,Vernon Wiegand,+19139811110,John Ryan,3,"Uruguai ",,
64,Jaime Tromp,+15875702289,Wm Goodwin,6,colombiana,,
65,Irvin Kessler III,+18233932920,Miranda Lehner III,3,colombiana,,
66,Nancy Kuhn,+18252029279,Nathan Konopelski,3,"brasileira ",,
67,Janice Brakus,+12303823842,Jackie Johns I,4,"Guin� ",,menina 3
68,Mr. Lowell Koepp,+13457389838,Mr. Terrell Jakubowski,1,Ucraniano,,
69,Pam Feeney,+14296951361,Malcolm Bashirian,4,Brasileiro,,Boys 12 e 19
70,Tracy Hyatt,+16808871584,Tommy Schaefer,3,brasileiro,,
71,Mr. Bryant Dietrich Sr.,+18969798591,Stacey McGlynn DDS,4,"brasileiros ",,
72,Alfred Barrows,+15945045242,Mr. Micheal Hartmann-Waelchi,,,,
73,Drew Stokes II,+15919469016,Bridget Bosco,3,"Brasileiro ",,
74,Blake Hermann,+15982857814,Erick Lebsack,5,"brasileiros ",,
75,Melody Ullrich I,+15768397385,Marsha Harris,2,Colombiano,,
76,Neal Senger,+19532861912,Freda Gerlach Jr.,3,"colombiano ",,
77,Ronald Rohan III,+15978298356,Ismael Conn,,Brasileiros,,
78,Angelica Jakubowski III,+12475453161,Tasha Schaden,4,Brasileiro,,
79,Elbert Schuppe,+17485704346,Tabitha Abernathy,2,"Brasileiros ",,
80,Clinton Schumm,+14025599759,Dora Bednar,3,brasileiro,,
81,Dr. Jenna Yundt-Waelchi,+19944450015,Jeffrey Ernser Sr.,3,,,Columbianos
82,Rhonda Reichert V,+18967078372,Russell Auer,3,"colombianos ",,
83,Alton Huels MD,+19748632501,Marcus Buckridge IV,4,"Argentina ",,
84,Miss Viola Bednar,+18239443123,Terrence Runolfsdottir,6,"Cabo verdiana ",,
85,Molly Crona,+18002142552,Kristin Schoen,4,Nepal,,
86,Marshall Schiller,+17803336571,Nathaniel Keebler,3,colombianos,,
87,Margarita Ruecker,+16345494543,Brittany Hettinger,3,"Cubana ",,
88,Jermaine Stoltenberg,+16849488281,Mrs. Mabel Hilll,3,Portuguesa,,Girl 2 Boy 11
89,Harvey Kihn-Franey,+19972500185,Timmy Cartwright,4,Brasileiro,,
90,Marilyn Leffler,+15074576267,Grant Bechtelar,2,"Brasileira ",,
91,Kate Grimes,+14815968163,Brittany Ziemann,3,"brasileiro ",,
92,Dr. Jordan Mills,+17006135954,Deborah Medhurst,,,,Avisados
93,Mr. Angel Kuhlman,+14317620274,Joey Raynor II,1,"portuguesa ",,
94,Dr. Christine Cormier,+14377751770,Lowell Lesch,2,Espanhol,,
95,Katherine Metz MD,+12107225525,Miss Lynda Stamm,,,,
96,Billy Kertzmann I,+17964082499,Jennifer Leffler V,4,Colombiano,,
97,Ralph Corkery,+17062382883,Caleb Anderson,4,,,
98,Shelly Ankunding,+18944847421,Kerry Gerlach,2,Columbiano,,Roupa gravida
99,Sidney Weissnat-Littel,+14848391331,Vickie Wyman DVM,3,brasileira,,
100,Joel Feil,+13784923868,Franklin Pfeffer,,,,
101,Dr. Johnathan Christiansen I,+17822351916,Mrs. Shirley Beer,1,Brasileiro,,
102,Arturo Rodriguez,+13033537412,Dr. Jane Fahey,,,,
103,Dr. Austin Baumbach,+14925888611,Stanley Cummings,5,Brasileiros,,
104,Ira Kuhn,+19097848255,Dr. Naomi Bartell,,Ucraniana,,
105,Megan Russel,+12708983001,Mr. Adam Hettinger PhD,3," Brasileiros",-5,
106,Ms. April Rice,+16786251893,Jessie Crist,,,,
107,Mr. Jean Wolf,+17597181548,Charles Paucek,2,Brasileiros,,
108,Lana Wunsch,+12912142836,Rudy Heaney MD,2,"colombiana ",,
109,Luis Weimann PhD,+12918212591,Eva Green,2,Brasileiro,,
110,Brent Lockman,+15715569327,Mrs. Dolores Little,,,,
111,Kim Zulauf,+19255108682,Holly Howe,4,brasileira,,ber�o e carrinho
112,Judith Larkin,+15979886975,Israel Tromp,,,,
113,Mathew Ziemann,+17054045042,Dr. Margarita Hilpert,,Portuguesa,2 filhos grandes,Vive na rua
114,Merle Lakin,+16949557289,Rogelio Orn,4,Brasileira,,
115,Yvonne Krajcik,+15466424625,Dr. Dwayne Balistreri,1,colombiano,,
116,Rickey Swaniawski Sr.,+16795899552,Sherman Schulist,,,,
117,Patsy Bauch Jr.,+16428669469,May Koss,5,"Brasileira ",,
118,Lee Hills,+13423189295,Charlie Moen,1,"s�o Tom� ",,
119,Melinda Corwin,+18679439926,Joann Wintheiser,3,Brasileiro,,
120,Gwen Jacobson,+16514034363,Erika Erdman DVM,,,,
121,Dr. Glen Hirthe,+14758358534,Tiffany Fay,1,Guatemala,,
122,Josephine Reynolds,+13043437484,Miss Yvonne Robel,3,"colombiano ",,menino 1 ano
123,David Smitham,+14322631904,Dr. Jeremy Powlowski I,4,brasileira,,
124,Chelsea Durgan,+16228004650,Fredrick Ritchie,1,Brasileira,,
125,Marian Dooley,+15387768101,Courtney Lang,5,,,
126,Myrtle Hoeger,+17833575588,Anita Prosacco,3,ucraniano,,
127,Edmond Watsica,+17203719068,Abraham Lynch,3,"Portugu�s ",,
128,Eula Rogahn,+15467243458,Ms. Tasha Walsh,4,Cabo verdiana,,
129,Ian Hagenes,+18514176851,Dr. Joshua Macejkovic I,3,Brasileiro,,
130,Karl Goldner,+16283220610,Rodney Botsford,3,brasileira,,
131,Douglas Conroy,+17644644921,Annie Gislason,2,"Brasileira ",,
132,Jerome Doyle,+14909056067,Jodi Kautzer,2,Angolano,,
133,Mr. Travis O'Conner,+18614264006,Darren Mann,1,brasileiro,,
134,Elena Strosin V,+12488228217,Dr. Noah Weimann,3,Brasileira,,
135,Tracey Walker,+13347703033,Dr. Marc Hudson,,Argentinos,,
136,Tyler Tillman,+14207806515,Nichole Johns-Koss,3,"Portugu�s ",,"menino 1 ano "
137,Dr. Darren MacGyver,+15683566455,Paul Sanford,,"Brasileiro ",,
138,Chris Wehner,+14307314513,Jody Gleason,,Columbiano,,
139,Charlene Borer,+15644852914,Dr. Ralph Blick,2,"brasileiro ",,
140,Esther Fritsch,+19192769064,Elvira Kris,3,brasileira,,
141,Olga Cormier,+16437405767,Beatrice Powlowski,3,Angolana,,girl 10 boy 1
142,Simon Swift,+14252646040,Marlon White,3,Brasileiro,,beb�
143,Richard Parker Sr.,+14147655473,Cora Blick,3,Haitiana,,menino 2 anos
144,Daisy Abernathy,+13684813584,Peter Wyman,5,"Guin� ",,meninos 3 anos e 1 ano
145,Noel Kiehn,+12726259367,Dr. Lucy Hirthe IV,3,brasileiro,,
146,Jerald Smitham,+13669226759,Shannon Marks Jr.,2,Brasileiro,,
147,Gerardo Herman,+19699074589,Johnnie Conroy,3,brasileira,,len��is
148,Anne Kunze,+17613592666,Miss Holly McGlynn,4,Brasileiro,,
149,Rose Keebler,+18607264645,Michael Mayert,4,brasileira,babycoc,"menina 2anos e gr�vida "
150,Eric Rippin,+18925196615,Russell Kovacek,,,computador e aspirador,
151,Ebony Murray,+13515861014,Audrey Gusikowski,1,Brasileiro,,
152,Colleen Mann,+17363501139,Angelina Zieme,,,,
153,Andre Frami,+12884798030,Nettie Bailey,2,"Espanhol ",,
154,Robin Schroeder,+18126389834,Lisa Towne,5,Uruguai,1 Cama solteiro estrato,
155,Bryan Franey,+17348270977,Vera Ortiz,5,"Brasileiros ","meninos 8, 12, 15",
